id,ticker,name,type,segment,management
121,PLCR11,FDO INV. IMOB. PLURAL RECEBIVEIS,Papel,Títulos e Valores,Ativa
122,BTRA11,FDO INV IMOB BTG PACTUAL TERRAS AGRÍCOLAS,Tijolo,Agro,Ativa
123,SNEL11,FUNDO DE INVEST IMOBILIARIO SUNO ENERGIAS LIMPAS,Híbrido,Desenvolvimento,Ativa
124,VIUR11,VINCI IMÓVEIS URBANOS,Híbrido,Misto,Ativa
125,VCRI11,VINCI CREDIT SECURITIES FUNDO DE INVESTIMENTO IMOB,Papel,Títulos e Valores,Ativa
126,ARRI11,FDO. INV. IMOB. ÁTRIO REIT RECEBÍVEIS IMOBILIÁRIOS,Papel,Títulos e Valores,Ativa
127,CYCR11,CYRELA CRÉDITO – FUNDO DE INVESTIMENTO IMOBILIÁRIO,Papel,Títulos e Valores,Ativa
128,NCHB11,FII NCH BRASIL RECEBÍVEIS IMOBILIÁRIOS,Papel,Títulos e Valores,Ativa
129,BLMG11,BLUEMACAW LOGÍSTICA,Híbrido,Indústria e Logística,Ativa
130,SADI11,SANTANDER PAPEIS IMOB CDI FDO INV IMOB,Papel,Títulos e Valores,Ativa
131,RVBI11,VBI REITS FOF – FDO. INV. IMOB,Fundo de Fundos,Títulos e Valores,Ativa
132,XPPR11,XP PROPERTIES FDO. INV. IMOB.,Tijolo,Lajes Corporativas,Ativa
133,HOFC11,RB CAPITAL OFFICE INCOME FDO INV. IMOB.,Tijolo,Lajes Corporativas,Ativa
134,ZAVI11,Zavit Real Estate,Híbrido,Indefinido,Ativa
135,VSLH11,VERSALHES RECEBÍVEIS IMOBILIÁRIOS,Híbrido,Papel,Ativa
136,JPPA11,JPP ALLOCATION MOGNO – FDO INV IMOB,Papel,Títulos e Valores,Ativa
137,SPTW11,SP Downtown,Tijolo,Lajes Corporativas,Passiva
138,IBCR11,FDO DE INV IMOBILIÁRIO DE CRI INTEGRAL BREI,Papel,Títulos e Valores,Ativa
139,RELG11,REC LOGISTICA,Híbrido,Indústria e Logística,Ativa
140,CARE11,Brazilian Graveyard and Death Care,Híbrido,Misto,Ativa
141,VIFI11,VINCI INSTRUMENTOS FINANCEIROS FDO INV IMOB – FII,Papel,Títulos e Valores,Ativa
142,CNES11,CENESP,Tijolo,Lajes Corporativas,Ativa
143,TORD11,TORDESILHAS EI FDO. INV. IMOB.,Híbrido,Misto,Ativa
